"sample","LSC17","IRG"
"BA3379R",-0.105333933856647,-0.036011011011011
"BA3124R",-0.085098442928838,-0.0806056056056056
"BA3395R",-0.116458628233175,-0.140007865007865
"BA3243R",-0.220364174494917,0.0354211354211355
"BA3407R",-0.0159889332132287,-0.269229944229944
"BA3108R",-0.268787800797838,-0.0712641212641212
"BA3195R",-0.333065242568524,-0.0838016588016588
"BA3410R",-0.199498134088277,-0.0745781495781496
"BA3206R",-0.15265731566079,-0.000289575289575295
"BA3202R",-0.072397374855231,-0.354096954096954
"BA3217R",-0.30842233946725,-0.249435149435149
"BA3371R",-0.0540084931154292,0.0362755612755613
"BA3413R",-0.167301505597735,-0.156334906334906
"BA3411R",-0.0732466863981469,-0.20530888030888
"BA3133R",-0.312263543945438,-0.299045474045474
"BA3451R",0.154684081842749,-0.0460853710853711
"BA3286R",-0.275080427229443,-0.0828936078936079
"BA3103R",-0.133875949041307,-0.0455455455455455
"BA3271R",-0.1391455411144,0.00457242957242954
"BA3152R",-0.0276412302149016,-0.167449592449592
"BA3095R",-0.279861021747523,-0.126201201201201
"BA3192R",-0.145328786513962,-0.0283926783926784
"BA3251R",-0.215094582421825,0.0312419562419562
"BA3362R",0.113370222622571,-0.0897290147290147
"BA3187R",-0.00227769913782006,-0.0366831116831117
"BA3435R",-0.377647664393257,-0.167732017732018
"BA3261R",-0.104368807103333,-0.0825825825825826
"BA3317R",-0.234429288379874,-0.132092807092807
"BA3299R",0.145315918157251,0.028996853996854
"BA3347R",0.134268433920988,-0.0203703703703704
"BA3126R",0.221142710075923,-0.154912054912055
"BA3089R",-0.188913910693604,0.0357142857142857
"BA3423R",-0.216310642131,0.0913913913913914
"BA3277R",0.0672757688843135,-0.0373516373516373
"BA3210R",-0.0419251061639429,-0.352295152295152
"BA3157R",-0.272867069875177,-0.251876876876877
"BA3433R",-0.0942414103718955,-0.0125732875732876
"BA3322R",0.0326148500836443,-0.119866294866295
"BA3374R",-0.203558100630549,-0.00938795938795939
"BA3450R",-0.192677905031527,-0.155623480623481
"BA3167R",-0.0290310127396731,-0.16543329043329
"BA3269R",0.0231308711877494,0.00231660231660236
"BA3110R",-0.022107836829237,0.0212712712712713
"BA3226R",-0.374739415776605,-0.00124052624052623
"BA3421R",-0.0234654484622314,-0.101354926354926
"BA3232R",-0.206131771972719,-0.0587087087087087
"BA3289R",-0.0676232145155063,-0.150496925496926
"BA3430R",-0.071425813923562,-0.00404332904332905
"BA3399R",-0.0587826534551538,-0.276941226941227
"BA3163R",-0.0273195212971304,-0.169923494923495
"BA3436R",-0.136816368549736,0.0581152581152581
"BA3154R",-0.0103204220821001,-0.0764407264407264
"BA3162R",-0.122069231759104,0.0315458315458316
"BA3352R",-0.0310706472783425,0.114221364221364
"BA3084R",-0.298262771844035,0.0624910624910625
"BA3149R",-0.0726483078110925,-0.0274131274131274
"BA3180R",-0.0363016342813023,0.112280137280137
"BA3255R",-0.237189550894351,-0.0980516230516231
"BA3438R",-0.00885986359541885,0.179890604890605
"BA3403R",-0.215203963453867,0.0321178321178321
"BA3341R",-0.115345515377686,-0.33023738023738
"BA3448R",-0.376438038862437,-0.0207886457886458
"BA3453R",0.0347574314760005,0.0535356785356785
"BA3308R",-0.146023677776348,-0.112898612898613
"BA3334R",-0.0484107579462102,-0.0805591305591306
"BA3447R",-0.0660597091751383,0.0942764192764193
"BA3116R",0.0531334448590914,-0.156220506220506
"BA3280R",-0.221831167159954,0.00185185185185177
"BA3318R",-0.137138077467507,-0.0556949806949807
"BA3332R",-0.0468408184274868,-0.302094952094952
"BA3214R",-0.356736584738129,-0.192052767052767
"BA3141R",-0.241481147857419,0.0174817674817676
"BA3373R",-0.32897953931283,-0.125543400543401
"BA3319R",0.0706344099858448,-0.12962962962963
"BA3240R",-0.301235362244241,-0.153646503646504
"BA3381R",-0.224250418221593,-0.263656513656514
"BA3290R",-0.0911723072963583,-0.0471042471042471
"BA3296R",0.118639814695663,-0.372247247247247
"BA3305R",-0.127113627589757,-0.0444587444587444
"BA3434R",-0.281244370093939,-0.314957814957815
"BA3264R",-0.170377042851628,-0.0543829543829544
"BA3367R",0.105424012353622,-0.0379272129272129
"BA3183R",-0.05880195599022,-0.0104175604175604
"BA3222R",-0.254439583065243,-0.110521235521235
"BA3397R",-0.318774932441127,-0.0920670670670671
"BA3422R",-0.0875176939904774,0.0136136136136136
"BA3213R",-0.147638656543559,-0.212158587158587
"BA3270R",0.073201647149659,-0.121886171886172
"BA3415R",-0.206318363145026,-0.353074503074503
"BA3324R",-0.313215802342041,-0.104425854425854
"BA3326R",0.0503603139879037,0.0885528385528386
"BA3297R",-0.0273581263672629,-0.0404475904475904
"BA3227R",-0.152058937073736,0.0465644215644215
"BA3412R",0.103661047484236,-0.0791934791934792
"BA3250R",-0.0987839402908249,-0.0789217789217789
"BA3260R",0.119257495817784,-0.31495423995424
"BA3176R",-0.0450649852013897,-0.0220935220935221
"BA3258R",0.220544331488869,-0.0132239382239382
"BA3295R",0.0127396731437396,-0.101083226083226
"BA3136R",-0.0543108994981341,-0.0121335621335621
"BA3234R",0.182917256466349,-0.143164593164593
"BA3087R",-0.234004632608416,-0.0124445874445874
"BA3302R",-0.313634023935144,-0.116956241956242
"BA3117R",-0.215113884956891,-0.148298298298298
"BA3266R",-0.309162269978124,-0.110835835835836
"BA3268R",-0.228960236777764,-0.193236093236093
"BA3353R",-0.114624887401879,0.0133991133991134
"BA3312R",-0.133425556556428,-0.249388674388674
"BA3119R",0.0349440226483079,0.0401580151580151
"BA3208R",-0.324269720756659,-0.0587265837265837
"BA3310R",-0.0840882769270364,-0.0121836121836122
"BA3211R",-0.100945824218247,-0.0411304161304161
"BA3130R",0.188482820743791,-0.2504433004433
"BA3376R",-0.266870415647922,-0.0204454454454455
"BA3137R",-0.161337022262257,-0.189714714714715
"BA3385R",-0.262804014927294,-0.0857607607607608
"BA3242R",-0.206820229056749,-0.0881631631631632
"BA3416R",-0.0774031656157509,-0.0715286715286715
"BA3123R",-0.368195856389139,-0.113191763191763
